efficientnet_class,crop,disease,medicine,active_ingredient,treatment_type,description,price
Jatropha___healthy,Jatropha,Healthy,,,,,
Lemon___healthy,Lemon,Healthy,,,,,
Mango ___healthy,Mango,Healthy,,,,,
Mango___Healthy,Mango,Healthy,,,,,
Peach___healthy,Peach,Healthy,,,,,
"Pepper,_bell___healthy","Pepper,_bell",Healthy,,,,,
Pomegranate___healthy,Pomegranate,Healthy,,,,,
PongamiaPinnata___healthy,PongamiaPinnata,Healthy,,,,,
Potato___healthy,Potato,Healthy,,,,,
Raspberry___healthy,Raspberry,Healthy,,,,,
Soybean___healthy,Soybean,Healthy,,,,,
Strawberry___healthy,Strawberry,Healthy,,,,,
Tomato___healthy,Tomato,Healthy,,,,,
coffee___healthy,coffee,Healthy,,,,,
rice___Healthy,rice,Healthy,,,,,
